player_id,player_name,position,team,status,height,weight,college,years_exp
12592,Jared Wilson,OL,NE,Active,75,310,Georgia,1.0
8932,Lucas Havrisik,K,GB,Active,74,185,Arizona,4.0
6353,Troy Reeder,LB,LAR,Active,75,234,Delaware,7.0
7815,K.J. Britt,LB,MIA,Active,72,240,Auburn,5.0
12794,Benjamin Chukwuma,OL,TB,Active,78,310,Georgia State,1.0
13263,Wyett Ekeler,CB,IND,Active,71,210,Wyoming,1.0
3271,Tyler Higbee,TE,LAR,Active,78,253,Western Kentucky,10.0
12138,Anthony Goodlow,DE,PIT,Active,77,283,Oklahoma State,2.0
12761,Jordan Moore,WR,CIN,Active,72,191,Duke,1.0
4988,Nick Chubb,RB,HOU,Active,71,227,Georgia,8.0
11638,Ricky Pearsall,WR,SF,Active,73,189,Florida,2.0
12514,Emeka Egbuka,WR,TB,Active,73,205,Ohio State,1.0
7711,Tommy Togiai,DT,HOU,Active,74,296,Ohio State,5.0
4347,Daniel Henry,FS,BAL,Active,"6'1""",196,New Mexico,0.0
12162,Ethan Driskell,OL,KC,Active,80,313,Marshall,2.0
7569,Nico Collins,WR,HOU,Active,76,222,Michigan,5.0
8784,Devin Cochran,OL,DET,Active,79,310,Georgia Tech,4.0
7765,Jonathon Cooper,DL,DEN,Active,76,257,Ohio State,5.0
11427,Christian Izien,DB,TB,Active,70,200,Rutgers,3.0
4771,Greg Van Roten,OG,NYG,Active,76,295,Pennsylvania,14.0
6659,Craig Reynolds,RB,NE,Active,71,216,Kutztown,7.0
10963,Jakorian Bennett,DB,PHI,Active,70,200,Maryland,3.0
9228,Bryce Young,QB,CAR,Active,70,204,Alabama,3.0
12598,Jonah Savaiinaea,OL,MIA,Active,77,326,Arizona,1.0
12487,Terrance Ferguson,TE,LAR,Active,77,252,Oregon,1.0
11671,Olu Fashanu,OL,NYJ,Active,78,312,Penn State,2.0
10221,Ronnie Bell,WR,NO,Active,72,192,Michigan,3.0
5087,JK Scott,P,LAC,Active,77,208,Alabama,8.0
11441,Thomas Incoom,LB,CAR,Active,74,265,Central Michigan,3.0
6889,Colton McKivitz,OL,SF,Active,78,301,West Virginia,6.0
5973,Josh Oliver,TE,MIN,Active,77,264,San Jose State,7.0
11464,McClendon Curtis,G,LV,Active,78,325,Chattanooga,3.0
12041,Carl Jones,DL,BAL,Active,74,230,UCLA,2.0
