player_id,season,week,passing_yards,passing_tds,passing_ints,rushing_yards,rushing_tds,receiving_yards,receiving_tds,receptions,fumbles,fantasy_points,games_played,targets,carries,player_name
12877,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Brandon Johnson
8119,2024,,0.0,0.0,0.0,13.0,0.0,216.0,0.0,19.0,0,22.9,17.0,33.0,1.0,Jahan Dotson
11828,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Marcus Harris
8375,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,13.0,0.0,0.0,Kalia Davis
8511,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,0.0,0.0,Rasheed Walker
11819,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,Levi Drake Rodriguez
13137,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Trace Ford
4118,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,10.0,0.0,0.0,Alex Anzalone
4106,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,15.0,0.0,0.0,Larry Ogunjobi
3589,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Chris Milton
5876,2024,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,12.2,17.0,0.0,1.0,Julian Love
12542,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Efton Chism
3763,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Woodrow Hamilton
5893,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.0,16.0,0.0,0.0,C.J. Gardner-Johnson
4078,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,14.0,0.0,0.0,Adoree' Jackson
8518,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.0,0.0,0.0,Thayer Munford
7049,2024,,0.0,0.0,0.0,0.0,0.0,975.0,6.0,77.0,0,133.5,15.0,113.0,0.0,Jauan Jennings
5466,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,17.0,0.0,0.0,John Franklin-Myers
8136,2024,,0.0,0.0,0.0,613.0,3.0,393.0,6.0,51.0,0,148.6,16.0,57.0,144.0,Rachaad White
11610,2024,,0.0,0.0,0.0,25.0,1.0,223.0,0.0,26.0,0,28.8,14.0,36.0,5.0,Malik Washington
11098,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,Caleb Murphy
8321,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,Tariq Castro-Fields
13195,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Jahfari Harvey
5792,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,17.0,0.0,0.0,Jeremy Reaves
8383,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,9.0,0.0,0.0,Cameron Thomas
4943,2024,,4319.0,35.0,12.0,212.0,1.0,0.0,0.0,0.0,0,319.96,17.0,0.0,67.0,Sam Darnold
10228,2024,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0,4.5,8.0,1.0,0.0,Charlie Jones
12155,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Nate Lynn
1900,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,0.0,0.0,Joel Bitonio
12819,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Kevin Knowles
3383,2024,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.12,17.0,0.0,0.0,Riley Dixon
11598,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,Tanner McLachlan
11436,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,PJ Mustipher
