player_id,team,position,season
00-0033886,PIT,LB,2025
00-0033888,NO,OL,2025
00-0033889,CLE,OL,2025
00-0033890,ARI,DB,2025
00-0033891,ARI,WR,2025
00-0033892,LAC,DB,2025
00-0033894,LAC,DB,2025
00-0033897,HOU,RB,2025
00-0033901,CLE,OL,2025
00-0033902,IND,DL,2025
00-0033904,BUF,OL,2025
00-0033905,BUF,DL,2025
00-0033906,NO,RB,2025
00-0033907,JAX,DL,2025
00-0033908,SEA,WR,2025
00-0033910,TB,OL,2025
00-0033913,IND,DL,2025
00-0033914,DET,LB,2025
00-0033918,MIN,DB,2025
00-0033921,TB,WR,2025
00-0033923,KC,RB,2025
00-0033926,SEA,DB,2025
00-0033928,JAX,DB,2025
00-0033935,CIN,DL,2025
00-0033936,DET,QB,2025
00-0033941,CLE,DB,2025
00-0033943,NYJ,WR,2025
00-0033945,IND,DL,2025
00-0033946,PIT,OL,2025
00-0033947,WAS,DL,2025
00-0033949,NE,QB,2025
00-0033952,IND,DL,2025
00-0033955,WAS,RB,2025
00-0033964,DET,DL,2025
00-0033995,LAC,OL,2025
00-0034051,PIT,LS,2025
00-0034054,WAS,WR,2025
00-0034067,CHI,LS,2025
00-0034073,CAR,TE,2025
00-0034084,BUF,K,2025
00-0034091,IND,DB,2025
00-0034112,NYG,OL,2025
00-0034114,LA,OL,2025
00-0034115,MIA,RB,2025
00-0034116,TB,DB,2025
00-0034145,IND,DB,2025
00-0034158,MIN,OL,2025
00-0034159,LAC,TE,2025
00-0034160,SEA,P,2025
00-0034161,LV,K,2025
00-0034162,LAC,P,2025
00-0034163,WAS,DL,2025
00-0034173,SF,K,2025
00-0034198,DAL,LS,2025
00-0034203,LA,DB,2025
00-0034208,MIA,RB,2025
00-0034234,LA,DL,2025
00-0034248,MIA,DB,2025
00-0034251,PIT,DL,2025
00-0034261,CAR,OL,2025
00-0034264,WAS,DL,2025
00-0034270,LAC,TE,2025
00-0034272,PIT,WR,2025
00-0034274,PHI,DB,2025
00-0034275,HOU,DL,2025
00-0034277,PIT,DB,2025
00-0034278,HOU,DB,2025
00-0034281,LAC,OL,2025
00-0034285,MIA,DL,2025
00-0034296,LA,LB,2025
00-0034302,WAS,LB,2025
00-0034317,BAL,WR,2025
00-0034320,ATL,DL,2025
00-0034333,WAS,DL,2025
00-0034342,IND,OL,2025
00-0034344,DET,DL,2025
00-0034345,DET,OL,2025
00-0034346,ARI,OL,2025
00-0034347,MIA,OL,2025
00-0034348,DEN,WR,2025
00-0034350,SEA,LB,2025
00-0034351,PHI,TE,2025
00-0034353,BAL,WR,2025
00-0034355,HOU,DB,2025
00-0034356,LAC,DB,2025
00-0034357,NYJ,DB,2025
00-0034359,IND,DL,2025
00-0034360,TEN,LB,2025
00-0034361,NO,DB,2025
00-0034364,JAX,TE,2025
00-0034365,LV,TE,2025
00-0034367,NO,RB,2025
00-0034371,LAC,DL,2025
00-0034373,WAS,DL,2025
00-0034375,SF,LB,2025
00-0034376,BUF,DB,2025
00-0034377,DET,DB,2025
00-0034381,ARI,LB,2025
00-0034383,HOU,TE,2025
00-0034384,DET,DB,2025
00-0034385,PIT,LB,2025
00-0034386,HOU,WR,2025
00-0034387,ARI,DL,2025
00-0034391,SF,DB,2025
00-0034397,HOU,DL,2025
00-0034399,CLE,OL,2025
00-0034401,CAR,QB,2025
00-0034406,BUF,WR,2025
00-0034407,NYG,WR,2025
00-0034411,SF,WR,2025
00-0034413,JAX,LB,2025
00-0034417,PHI,OL,2025
00-0034418,MIA,WR,2025
00-0034419,HOU,WR,2025
00-0034429,PHI,OL,2025
00-0034431,IND,LB,2025
00-0034435,CAR,DB,2025
00-0034436,NO,OL,2025
00-0034437,JAX,P,2025
00-0034438,ARI,QB,2025
00-0034446,CIN,DB,2025
00-0034450,LV,K,2025
00-0034461,SF,DL,2025
00-0034465,WAS,DB,2025
00-0034473,JAX,LB,2025
00-0034485,CHI,DB,2025
00-0034487,NE,WR,2025
00-0034488,MIN,DB,2025
00-0034490,DET,LB,2025
00-0034495,ARI,OL,2025
00-0034516,BUF,DB,2025
00-0034521,NYJ,WR,2025
00-0034540,CLE,DB,2025
00-0034571,WAS,OL,2025
00-0034573,IND,DB,2025
00-0034577,DET,QB,2025
00-0034613,CIN,TE,2025
00-0034639,ATL,DB,2025
00-0034657,JAX,DL,2025
00-0034668,NYG,OL,2025
00-0034673,CHI,LB,2025
00-0034675,ATL,DB,2025
00-0034677,ARI,DL,2025
00-0034678,LV,OL,2025
00-0034681,WAS,RB,2025
00-0034720,NE,LB,2025
00-0034721,CLE,P,2025
00-0034728,PHI,DB,2025
00-0034729,DET,OL,2025
00-0034746,CLE,DL,2025
00-0034752,CIN,OL,2025
00-0034753,BAL,TE,2025
00-0034754,CIN,LB,2025
00-0034756,PIT,DB,2025
00-0034759,LV,OL,2025
00-0034760,NO,DL,2025
00-0034763,SF,OL,2025
00-0034764,WAS,WR,2025
00-0034768,NYJ,OL,2025
00-0034771,PIT,QB,2025
00-0034773,TB,DL,2025
00-0034775,HOU,WR,2025
00-0034778,NE,DB,2025
00-0034779,ATL,LB,2025
00-0034780,NO,DB,2025
00-0034782,NYJ,DL,2025
00-0034787,NYG,LB,2025
00-0034789,MIA,DB,2025
00-0034790,LAC,DB,2025
00-0034791,HOU,RB,2025
00-0034792,MIA,DB,2025
00-0034794,MIA,K,2025
00-0034796,BAL,QB,2025
00-0034797,CLE,LB,2025
00-0034798,CHI,TE,2025
00-0034800,CIN,DL,2025
00-0034801,ATL,LB,2025
00-0034803,BAL,OL,2025
00-0034805,DEN,DL,2025
00-0034807,PHI,LB,2025
00-0034810,TEN,DL,2025
00-0034815,SF,LB,2025
00-0034817,DEN,OL,2025
00-0034818,KC,DL,2025
00-0034825,TEN,LB,2025
00-0034827,CHI,WR,2025
00-0034828,NE,LB,2025
00-0034829,CIN,TE,2025
00-0034832,MIA,LB,2025
00-0034836,IND,OL,2025
00-0034837,TEN,WR,2025
00-0034838,LAC,RB,2025
00-0034842,BAL,DL,2025
00-0034843,ATL,DB,2025
00-0034844,PHI,RB,2025
00-0034847,DEN,OL,2025
00-0034854,ATL,WR,2025
00-0034855,TB,QB,2025
00-0034856,CLE,DB,2025
00-0034857,BUF,QB,2025
00-0034858,LV,DB,2025
00-0034860,NO,WR,2025
00-0034867,SF,WR,2025
00-0034869,SEA,QB,2025
00-0034874,BAL,LB,2025
00-0034899,MIN,QB,2025
00-0034928,ARI,WR,2025
00-0034937,LA,OL,2025
00-0034941,BUF,P,2025
00-0034951,PHI,OL,2025
00-0034955,MIN,QB,2025
00-0034957,PIT,OL,2025
00-0034959,NYJ,RB,2025
00-0034960,JAX,WR,2025
00-0034966,CLE,DB,2025
00-0034967,GB,DL,2025
00-0034968,BUF,DB,2025
00-0034970,HOU,TE,2025
00-0034972,MIA,RB,2025
00-0034973,LV,DL,2025
00-0034974,SEA,DB,2025
00-0034975,BAL,RB,2025
00-0034978,DEN,OL,2025
00-0034981,NO,TE,2025
00-0034982,DEN,LB,2025
00-0034983,CAR,WR,2025
00-0034987,HOU,LB,2025
00-0034989,MIN,OL,2025
00-0034993,PHI,DB,2025
00-0034994,TEN,OL,2025
00-0034999,CHI,LB,2025
00-0035000,MIA,LB,2025
00-0035003,CLE,OL,2025
00-0035020,NYG,LB,2025
00-0035021,IND,WR,2025
00-0035026,SF,DL,2025
00-0035039,CHI,TE,2025
00-0035042,NYG,P,2025
00-0035045,IND,WR,2025
00-0035062,DEN,OL,2025
00-0035073,MIN,DL,2025
00-0035084,CAR,OL,2025
00-0035100,CIN,QB,2025
00-0035112,JAX,OL,2025
00-0035118,GB,LS,2025
00-0035125,MIA,RB,2025
00-0035127,LAC,OL,2025
00-0035133,GB,DB,2025
00-0035140,BUF,WR,2025
00-0035142,NO,DB,2025
00-0035144,ARI,LB,2025
00-0035149,WAS,OL,2025
00-0035150,NYJ,DB,2025
00-0035156,DET,P,2025
00-0035157,NE,LB,2025
00-0035166,HOU,LB,2025
00-0035189,BUF,K,2025
00-0035190,LV,P,2025
00-0035192,TEN,K,2025
00-0035202,LAC,LB,2025
00-0035208,CHI,WR,2025
00-0035216,CLE,WR,2025
00-0035227,DEN,DB,2025
00-0035228,ARI,QB,2025
00-0035229,MIN,TE,2025
00-0035230,BUF,DL,2025
00-0035233,SF,OL,2025
00-0035234,HOU,OL,2025
00-0035235,ATL,OL,2025
00-0035236,MIN,DB,2025
00-0035237,KC,OL,2025
00-0035238,CIN,OL,2025
00-0035239,ARI,DB,2025
00-0035240,NE,LB,2025
00-0035242,NO,OL,2025
00-0035243,DAL,RB,2025
00-0035244,LV,DB,2025
00-0035245,PIT,OL,2025
00-0035248,DEN,DL,2025
00-0035249,MIN,TE,2025
00-0035250,NYG,RB,2025
00-0035251,DAL,QB,2025
00-0035252,MIA,OL,2025
00-0035253,CHI,DB,2025
00-0035254,TB,LB,2025
00-0035255,MIA,DB,2025
00-0035258,ARI,OL,2025
00-0035261,TEN,RB,2025
00-0035262,KC,LB,2025
00-0035264,DEN,QB,2025
00-0035266,TB,OL,2025
00-0035269,SF,K,2025
00-0035270,BAL,DB,2025
00-0035272,MIN,LB,2025
00-0035276,MIN,LB,2025
00-0035277,CAR,DB,2025
00-0035278,NYJ,DL,2025
00-0035279,KC,DL,2025
00-0035280,MIA,P,2025
00-0035282,ATL,QB,2025
00-0035286,PIT,LB,2025
00-0035289,KC,QB,2025
00-0035291,CLE,RB,2025
00-0035295,SF,OL,2025
00-0035298,PIT,WR,2025
00-0035300,JAX,OL,2025
00-0035301,DAL,DB,2025
00-0035311,SEA,RB,2025
00-0035316,ATL,LB,2025
00-0035317,LV,OL,2025
00-0035328,MIN,OL,2025
00-0035329,PIT,TE,2025
00-0035330,DET,LB,2025
00-0035341,NYJ,WR,2025
00-0035345,MIA,TE,2025
00-0035346,NYJ,DB,2025
00-0035352,MIA,LB,2025
00-0035355,TEN,OL,2025
00-0035356,WAS,TE,2025
00-0035357,BUF,DB,2025
00-0035358,TB,K,2025
00-0035359,ATL,WR,2025
00-0035363,CIN,LB,2025
00-0035378,JAX,DB,2025
00-0035382,CHI,OL,2025
00-0035383,WAS,OL,2025
00-0035384,PHI,OL,2025
00-0035386,CHI,LB,2025
00-0035402,NO,LB,2025
00-0035406,DEN,WR,2025
00-0035408,BAL,LS,2025
00-0035409,WAS,DL,2025
00-0035413,SF,LB,2025
00-0035436,PIT,TE,2025
00-0035468,MIN,OL,2025
00-0035480,DET,WR,2025
00-0035485,CIN,DB,2025
00-0035500,ARI,WR,2025
00-0035525,CLE,LB,2025
00-0035526,GB,OL,2025
00-0035535,NYG,WR,2025
00-0035537,BUF,RB,2025
00-0035542,TEN,DB,2025
00-0035544,DET,WR,2025
00-0035567,NE,RB,2025
00-0035588,NE,OL,2025
00-0035593,HOU,WR,2025
00-0035594,CHI,RB,2025
00-0035602,LV,WR,2025
00-0035617,LA,LB,2025
00-0035623,TEN,OL,2025
00-0035625,JAX,DB,2025
00-0035628,NE,RB,2025
00-0035629,ARI,OL,2025
00-0035630,ATL,OL,2025
00-0035631,CIN,TE,2025
00-0035632,TEN,DB,2025
00-0035633,DAL,DB,2025
00-0035636,ARI,DL,2025
00-0035637,DET,DB,2025
00-0035639,DAL,WR,2025
00-0035640,PIT,WR,2025
00-0035642,JAX,DL,2025
00-0035643,TEN,DL,2025
00-0035644,CIN,TE,2025
00-0035645,NYG,WR,2025
00-0035646,MIN,LB,2025
00-0035647,CHI,DL,2025
00-0035655,WAS,DB,2025
00-0035656,NYJ,DL,2025
00-0035659,WAS,WR,2025
00-0035662,KC,WR,2025
00-0035663,BUF,DB,2025
00-0035665,CAR,DB,2025
00-0035667,TB,DL,2025
00-0035668,BUF,OL,2025
00-0035669,CAR,DB,2025
00-0035672,TEN,LB,2025
00-0035674,KC,DL,2025
00-0035676,PHI,WR,2025
00-0035678,BAL,LB,2025
00-0035679,BUF,OL,2025
00-0035680,NYJ,LB,2025
00-0035681,KC,DB,2025
00-0035683,NYG,DL,2025
00-0035685,DET,RB,2025
00-0035686,DEN,OL,2025
00-0035687,NYG,LB,2025
00-0035688,LAC,OL,2025
00-0035689,BUF,TE,2025
00-0035692,SF,DL,2025
00-0035696,IND,DB,2025
00-0035697,IND,LB,2025
00-0035698,JAX,OL,2025
00-0035699,TB,DB,2025
00-0035700,GB,RB,2025
00-0035702,CIN,OL,2025
00-0035703,CHI,WR,2025
00-0035704,SEA,QB,2025
00-0035705,ARI,DB,2025
00-0035707,LV,LB,2025
00-0035710,IND,QB,2025
00-0035713,NYG,LB,2025
00-0035717,SF,DL,2025
00-0035718,DAL,DL,2025
00-0035719,WAS,WR,2025
00-0035726,HOU,RB,2025
00-0035743,PHI,OL,2025
00-0035757,LV,LS,2025
00-0035763,DEN,DL,2025
00-0035764,DEN,OL,2025
00-0035769,BAL,TE,2025
00-0035783,SEA,DB,2025
00-0035795,PIT,DB,2025
00-0035804,NYG,LB,2025
00-0035806,MIA,RB,2025
00-0035821,PIT,P,2025
00-0035827,JAX,LS,2025
00-0035829,SF,OL,2025
00-0035841,MIA,DL,2025
00-0035857,CHI,DL,2025
00-0035859,ARI,P,2025
00-0035862,WAS,DB,2025
00-0035876,ARI,WR,2025
00-0035881,NE,OL,2025
00-0035889,HOU,P,2025
00-0035890,CAR,DL,2025
00-0035891,SEA,WR,2025
00-0035895,TEN,LB,2025
00-0035900,KC,LB,2025
00-0035903,TEN,DL,2025
00-0035910,TEN,DL,2025
00-0035924,BAL,RB,2025
00-0035928,TB,DL,2025
00-0035933,BUF,LB,2025
00-0035934,ARI,WR,2025
00-0035939,CAR,QB,2025
00-0035942,CAR,LB,2025
00-0035944,NO,DL,2025
00-0035946,DET,DL,2025
00-0035956,DET,TE,2025
00-0035961,CAR,LB,2025
00-0035962,ATL,DB,2025
00-0035973,SF,RB,2025
00-0035976,CAR,WR,2025
00-0035984,TEN,LB,2025
00-0035992,DET,OL,2025
00-0035993,BAL,QB,2025
00-0035995,ATL,DB,2025
00-0035997,WAS,OL,2025
00-0036011,WAS,DB,2025
00-0036015,DET,OL,2025
00-0036020,IND,RB,2025
00-0036032,IND,TE,2025
00-0036036,DAL,OL,2025
00-0036037,BUF,DB,2025
00-0036040,NO,TE,2025
00-0036045,MIN,LB,2025
00-0036059,CAR,TE,2025
00-0036081,BAL,DL,2025
00-0036082,ATL,LS,2025
00-0036087,HOU,DB,2025
00-0036093,IND,OL,2025
00-0036101,DET,DB,2025
00-0036105,DAL,OL,2025
00-0036114,MIA,DB,2025
00-0036123,CAR,OL,2025
00-0036124,DET,DB,2025
00-0036130,BAL,DL,2025
00-0036132,TB,OL,2025
00-0036133,TEN,WR,2025
00-0036139,CAR,RB,2025
00-0036145,WAS,TE,2025
00-0036148,PIT,DL,2025
00-0036151,SF,DL,2025
00-0036157,GB,LB,2025
00-0036158,DEN,RB,2025
00-0036159,PHI,LB,2025
00-0036162,BUF,K,2025
00-0036163,DET,OL,2025
00-0036165,NYG,WR,2025
00-0036166,BUF,DB,2025
00-0036170,NO,OL,2025
00-0036171,MIA,OL,2025
00-0036176,TEN,WR,2025
00-0036181,LAC,DL,2025
00-0036182,MIA,WR,2025
00-0036183,BUF,WR,2025
00-0036187,BUF,RB,2025
00-0036192,BUF,DL,2025
00-0036193,NE,LB,2025
00-0036195,TB,OL,2025
00-0036196,BUF,WR,2025
00-0036198,NE,OL,2025
00-0036199,CIN,DB,2025
00-0036204,ATL,DL,2025
00-0036212,MIA,QB,2025
00-0036214,CLE,OL,2025
00-0036215,IND,OL,2025
00-0036217,HOU,LS,2025
00-0036219,LV,WR,2025
00-0036220,CAR,DL,2025
00-0036221,DEN,DB,2025
00-0036222,MIN,DB,2025
00-0036223,IND,RB,2025
00-0036224,MIN,LB,2025
00-0036225,HOU,TE,2025
00-0036231,PIT,DB,2025
00-0036232,HOU,TE,2025
00-0036236,WAS,OL,2025
00-0036237,LA,DL,2025
00-0036239,CHI,LB,2025
00-0036241,TB,DB,2025
00-0036244,LA,TE,2025
00-0036246,NYG,OL,2025
00-0036248,MIA,OL,2025
00-0036249,CLE,LB,2025
00-0036252,IND,WR,2025
00-0036253,NO,DB,2025
00-0036254,LV,WR,2025
00-0036256,SF,OL,2025
00-0036258,CHI,OL,2025
00-0036259,SF,WR,2025
00-0036260,WAS,DL,2025
00-0036261,SF,WR,2025
00-0036262,JAX,DL,2025
00-0036264,GB,QB,2025
00-0036265,PHI,RB,2025
00-0036266,SF,DL,2025
00-0036268,BUF,WR,2025
00-0036271,PHI,WR,2025
00-0036272,SF,OL,2025
00-0036273,ATL,OL,2025
00-0036274,MIN,DB,2025
00-0036275,CHI,RB,2025
00-0036276,IND,LB,2025
00-0036277,HOU,WR,2025
00-0036280,PIT,LB,2025
00-0036281,ATL,DB,2025
00-0036282,CLE,DB,2025
00-0036284,LAC,OL,2025
00-0036285,ATL,DB,2025
00-0036286,NE,LB,2025
00-0036287,WAS,DB,2025
00-0036288,SF,DL,2025
00-0036290,CHI,TE,2025
00-0036291,HOU,DL,2025
00-0036292,CHI,DB,2025
00-0036293,LV,DB,2025
00-0036294,DAL,LB,2025
00-0036295,SF,OL,2025
00-0036297,BUF,RB,2025
00-0036298,ARI,LB,2025
00-0036299,IND,DB,2025
00-0036300,NYJ,LB,2025
00-0036302,NE,DB,2025
00-0036305,CAR,DL,2025
00-0036306,DET,DB,2025
00-0036307,TB,DB,2025
00-0036309,ATL,WR,2025
00-0036310,DAL,OL,2025
00-0036313,PHI,P,2025
00-0036317,TEN,OL,2025
